WVSC,SOURCEID,SOURCE_ID,PARALLAX,PARALLAX_ERROR
74,8.59E+11,3.35E+18,0.617292845,0.0269074
75,8.59E+11,3.35E+18,-1.18536545,0.6829615
76,8.59E+11,3.35E+18,0.568028586,0.25837708
77,8.59E+11,3.35E+18,-0.147681282,0.23455632
78,8.59E+11,3.35E+18,0.007433231,0.19004308
79,8.59E+11,3.35E+18,0.018700403,0.10243799
80,8.59E+11,3.35E+18,0.145582697,0.18111932
81,8.59E+11,3.35E+18,0.280866132,0.26498207
82,8.59E+11,3.35E+18,0.288968354,0.072741434
83,8.59E+11,3.35E+18,0.043503483,0.18390928
84,8.59E+11,6.05E+17,1.129753441,0.01767247
85,8.59E+11,6.05E+17,0,0
86,8.59E+11,6.05E+17,1.168385027,0.016892385
87,8.59E+11,6.05E+17,1.135275464,0.016298281
88,8.59E+11,5.99E+17,0.566673885,0.032951012
89,8.59E+11,5.99E+17,5.70052553,0.03789004
90,8.59E+11,2.81E+18,-0.008642679,0.050315388
91,8.59E+11,2.81E+18,0.833830512,0.02008311
92,8.59E+11,2.81E+18,2.53424947,0.036628235
93,8.59E+11,1.74E+18,0.903376065,0.016791446
94,8.59E+11,1.74E+18,0.321606746,0.046572775
95,8.59E+11,1.74E+18,1.709934963,0.037989233
96,8.59E+11,1.74E+18,0.929832364,0.028098052
97,8.59E+11,1.74E+18,-0.049595832,0.1903884
98,8.59E+11,1.74E+18,1.716779477,0.056431826
99,8.59E+11,1.74E+18,0.018180417,0.070174
100,8.59E+11,1.74E+18,0.353605466,0.048066758
101,8.59E+11,1.74E+18,0.91757246,0.04911108
102,8.59E+11,3.09E+18,0.282956555,0.25649714
103,8.59E+11,4.44E+18,0.942935825,0.09279756
104,8.59E+11,3.09E+18,0.521521454,0.062392585
105,8.59E+11,3.09E+18,0.575774784,0.07188323
106,8.59E+11,4.44E+18,-0.093349661,0.32102713
107,8.59E+11,2.52E+18,0.441834259,0.34443417
108,8.59E+11,4.28E+18,0.441439225,1.1203905
109,8.59E+11,4.28E+18,0.245798065,0.09124523
110,8.59E+11,4.28E+18,0.160976521,0.12935485
111,8.59E+11,4.28E+18,0.429336718,0.07329002
112,8.59E+11,4.28E+18,0.197087146,0.22614662
113,8.59E+11,4.28E+18,0.981535541,0.52450347
114,8.59E+11,4.28E+18,-0.046781722,0.19252777
115,8.59E+11,4.28E+18,0.844363595,0.14220236
116,8.59E+11,4.28E+18,0.535762429,0.065414645
117,8.59E+11,4.28E+18,1.187760846,0.07531625
118,8.59E+11,4.28E+18,0.323678799,0.18018067
119,8.59E+11,4.28E+18,0.561481904,0.026617102
120,8.59E+11,4.28E+18,0.721637183,0.039394096
121,8.59E+11,4.28E+18,0.219962067,0.099041164
122,8.59E+11,4.28E+18,0,0
123,8.59E+11,4.28E+18,0.245732265,0.23404984
124,8.59E+11,4.28E+18,0.089713665,0.12532406
125,8.59E+11,4.28E+18,-0.103237887,0.12320893
126,8.59E+11,4.28E+18,0.479288737,0.09165165
127,8.59E+11,4.28E+18,-0.320840655,0.9972618
128,8.59E+11,4.28E+18,0.398430276,0.1932408
129,8.59E+11,4.28E+18,0.094383688,0.17965804
130,8.59E+11,4.28E+18,0.38955439,0.10685143
131,8.59E+11,4.28E+18,0.638964162,0.32897127
132,8.59E+11,4.28E+18,0.611538976,0.1442925
133,8.59E+11,4.28E+18,0.087893259,0.23933809
134,8.59E+11,4.28E+18,0.224158916,0.036381133
135,8.59E+11,4.28E+18,0.379110146,0.07995999
136,8.59E+11,4.28E+18,0.145887384,0.019271253
137,8.59E+11,4.28E+18,0.259694963,0.043720394
138,8.59E+11,2.55E+18,0.06172777,0.044123396
139,8.59E+11,4.28E+18,0.554503109,0.13232273
140,8.59E+11,4.28E+18,0.026383468,0.7811878
141,8.59E+11,4.28E+18,0.241535466,0.2515301
142,8.59E+11,4.28E+18,0.272107942,0.18062708
143,8.59E+11,4.28E+18,0.385078082,0.392946
144,8.59E+11,4.28E+18,-0.048360108,0.3279482
145,8.59E+11,4.28E+18,0.697483506,0.44779763
146,8.59E+11,4.28E+18,0.530642842,0.09394564
147,8.59E+11,4.28E+18,0.104073957,0.16780777
