,Unnamed: 0,T1,T2,N1,N2,CHI1,CHI2,WVSC
27,27,2351.8724340347376,2015.9931262840464,1.3985275830463137e-15,3.091543496507412e-15,21.85991822068245,3.340925327694719,121
28,28,1767.8708564125009,1855.1733094161364,1.0456126702044721e-15,7.216852976617758e-16,0.4903214892844997,1.2643869044523892,122
29,29,1926.7552391759652,2164.934439081524,1.736940322886673e-15,2.7481418933533438e-15,28.955173636675568,5.300878709889368,124
30,30,1797.0169344148055,2053.123938335405,1.2614630943845761e-15,5.055335506734483e-16,0.3833076546284625,0.4461918957851963,127
31,31,2272.6029292234225,1699.2791983306895,1.2123381930166136e-14,2.1541776820567952e-14,151.4415232900471,33.78196279020505,137
32,32,1863.6895960780532,1935.4949209911292,2.1437199804993987e-15,4.5697955737226285e-15,0.1658732164289476,1.5881554667851758,141
33,33,1875.4142068180329,2304.143275144745,1.8537067703579426e-15,8.44921979010363e-16,2.3799130691913355,0.91447224713497,144
34,34,1669.3869094831584,1873.3958640163928,2.835244885005312e-15,3.0722235663648988e-15,0.7994505732366617,3.747985514070232,145
35,35,2183.534539524413,2159.399531046167,3.674757276280466e-15,4.839450826849661e-15,1.7044831353781449,1.6386633584520929,146
36,36,2298.7669501498744,2060.659242834286,2.4696086271843095e-15,7.209727577149969e-15,14.952529885760566,1.405605088768806,150
37,37,1695.7871789662502,1820.3489244628624,1.4728584513091e-15,6.349998659382441e-16,0.522490945188018,0.3027588681130888,151
38,38,1693.5709177642964,1647.9439310306452,2.526462318733172e-15,3.593490711180536e-15,0.429505383090679,0.93982924672575,161
39,39,1953.6522244316689,2003.9351564183487,5.2141786968837905e-14,1.1937001624663434e-13,41.3727468168225,581.0754968791016,164
40,40,2080.045603040699,1944.147248356222,8.098003708525287e-15,2.1488060928335648e-14,9.137106621759362,127.99924550778606,165
41,41,1953.442089089928,1889.4938439056828,3.3655637008536358e-15,1.8517341127669607e-14,0.6362584681041769,41.511339806745234,170
42,42,2156.464026012811,1945.334972341392,1.5770647137256754e-15,1.8175966338310558e-14,4.406823079910449,35.167791289725656,172
43,43,1881.30627440636,1734.42856915284,4.683960463105313e-15,1.8647122265078133e-14,2.013575076106455,36.02831499001703,175
44,44,1864.372879006392,1716.3312674332476,1.527010653844588e-15,1.7777503221091795e-14,0.4560574214281983,33.14374231416603,178
45,45,1728.4471350267302,1681.8390255656036,3.433711235263824e-15,2.1675072382153818e-15,16.163647353562524,3.915795836308769,180
46,46,1628.4434577598968,1688.500903796747,1.8748786505188707e-14,2.3254593840283023e-14,7.84954511696334,32.75772575793096,184
47,47,1707.381531615579,1525.1629513273394,5.128900756451202e-14,8.037540266025271e-14,148.06515552867958,195.84054114069275,185
48,48,1629.4898997234452,1505.8021250684378,3.743637964585145e-15,1.44196098322654e-14,5.858736671481434,15.084064654923214,186
49,49,1655.4165799530977,1540.8040499402844,2.2296018566757207e-15,5.153022435563762e-15,1.1042369104336474,4.011012073513023,188
50,50,1680.3326016808576,1668.893484339405,2.4424998848708976e-15,2.0580284499321626e-15,1.8394191319777728,1.8255140602188265,189
51,51,1671.598083231939,1549.1912234219826,1.899674827195324e-15,2.785376400532605e-15,0.7019941596090885,1.292582924304772,190
52,52,1106.828178221574,1021.7558179035856,1.7936458700928906e-13,2.589443790650142e-12,7.765485828011852,552.5964751500156,193
53,53,1666.832408223956,1686.3203368176498,3.911753163626412e-15,1.6924905880944988e-14,3.3656556024590785,39.26310317792546,201
54,54,1806.194552975319,1713.42315490838,5.3019343295727314e-15,2.340202033918903e-14,1.904099696201267,82.93745695062756,203
55,55,1622.8496780447426,1563.4064404563185,3.7625441071901664e-15,1.242075763025618e-14,0.9262442216110102,10.0817369936193,205
56,56,1678.1730442302398,1641.3887115928535,3.3353286326511958e-15,1.1623255214658752e-14,0.5932629277697848,10.498250400037332,211
57,57,2877.3399780975165,2638.5146935008192,8.775451096439808e-15,1.7971143376315878e-14,779.4318617291005,716.7491512367894,215
58,58,2191.238115223849,2584.103585704365,9.323942676359205e-16,1.1655397484836749e-15,4.717330664703603,6.876106693810584,219
59,59,2610.0354806144155,2277.0613166891094,5.721270387697165e-16,1.290564258966122e-15,7.728550947632531,1.6301348558778082,223
60,60,2232.0139199025743,2006.090469819608,3.821841663555605e-15,2.4965052679034104e-14,49.40974575684496,76.22575522745869,224
61,61,2301.1950355912127,2139.7895507731864,6.861988746188975e-16,5.928890991163902e-15,5.360131576781253,13.992144663291022,226
62,62,1782.0773233988652,1803.3963396911624,6.6898622933754835e-15,6.6226114899801525e-15,5.834041186417921,5.184673821151204,227
63,63,2225.8658416457592,2170.3059025619336,9.895548116189814e-16,9.846097556268334e-15,18.69127766132876,45.689581666060825,228
64,64,2346.430410877138,2457.38676947596,6.693704373305679e-16,1.139710357360362e-15,10.017519375284085,5.2278638733581015,231
65,65,3107.353486976867,2681.8505178325204,4.426793818205698e-16,1.783203313181973e-15,19.23887025140645,5.8584019987644735,237
66,66,2254.7891737156847,2070.142493126737,1.9362596060527764e-15,2.0354015101654768e-14,3.375626889341686,38.58947730646552,238
67,67,2008.8706595279211,1933.11340005546,3.7528931165733866e-15,3.549841302626044e-14,1.8512505765546576,288.4483168094816,240
68,68,1799.6545870409525,1634.5357391480482,1.5074374854374904e-15,1.9104700806059908e-14,0.2104205536586862,52.77554023214382,243
69,69,1939.0150953757432,1842.6242680573268,2.366445011700733e-15,1.1198403769163512e-14,1.0836134077673372,28.75269235228858,244
70,70,2496.378496913463,2211.940409786438,1.9957958018923244e-15,3.078825113818395e-14,11.035868670019369,168.2467930392863,245
