,WVSC,Z1,Y1,J1,H1,K1,Z2,Y2,J2,H2,K2
44,92.0,0.0007812940681675758,0.0008568695495815111,0.0011041590832242543,0.0010684315172187079,0.0006180879368936571,0.00518608463478629,0.005832001137275797,0.006444944769766715,0.0077842002551913045,0.005645416652851524
45,93.0,0.010164598076469161,0.009877581530621963,0.007667910192321988,0.005597191897238188,0.006072517930700474,0.026935956374695036,0.024439662262874477,0.021175964488782464,0.015943497573072746,0.007235727453093512
46,95.0,0.016554480786133613,0.013854516203659024,0.01222317645602388,0.00988852901447513,0.006172040163866976,0.05300802214844119,0.051862040501728164,0.04826092037492151,0.040090659449484166,0.02644312634125205
47,96.0,0.0010629267684214797,0.0009134782087389633,0.0008308097675407801,0.0006993379874394995,0.0004976082684661496,0.006650440311983624,0.006919036155180652,0.007079640418001461,0.006795840854875044,0.004651433324635486
48,98.0,0.0009637602904459192,0.0011924378303032265,0.0014050055665472648,0.001610990035055139,0.0028042500750339885,0.003292325759674239,0.004001079677450722,0.00477851771091291,0.0059153875098526985,0.00281385166866123
49,100.0,0.0009189443704750121,0.0008520156418015642,0.0007671802810773338,0.0007397889172065714,0.0004706455808957256,0.0008259116649261423,0.0008307080136024285,0.0008160861360958194,0.000663783419405614,0.0004761015550763751
50,101.0,0.0003995194152100266,0.0006648718722015623,0.0004377780927632413,0.0004441635888510166,0.00028776345677414923,0.0027986126960499328,0.0026816864647959803,0.0029799570180755277,0.0029836563449168046,0.0020469328698537372
51,103.0,0.0002794672868760776,0.0003279035552392023,0.00035536840691954537,0.00047125231736076063,0.0003424433604865358,0.0008370565516955103,0.0009943672221683338,0.0012064696465207809,0.0013418921119970964,0.001066219939364368
52,105.0,0.0004700585241127148,0.0004564745211477415,0.00048695913494752855,0.0004965392283118005,0.00040720572087215125,0.0009039391577337615,0.0009627333135337008,0.0010077035766296206,0.0010817158666436384,0.0007083775679177746
53,107.0,0.00011878381064325695,0.00010714781078061946,0.00012794747637467332,0.00025230928298609846,0.00013732158072071434,0.0001085003652066743,0.0001344456638833513,0.00015146127207326038,0.0001846122009520459,0.00011082894522205696
54,108.0,4.572904616407527e-05,5.230706863268141e-05,7.048398315594642e-05,6.862884666820603e-05,4.567414426695226e-05,5.0911371893683926e-05,5.8151751502467744e-05,7.298472903689854e-05,8.97953815182406e-05,7.132470761379884e-05
55,110.0,0.0005048769865734198,0.0005403760183380771,0.0006038820024019357,0.0006747886494365945,0.000519116632410942,0.000434016659503475,0.0005058386386481235,0.0005704227000546055,0.000527975293154196,0.0004485425007115757
56,113.0,0.00012681328083291325,8.09213670670774e-05,0.00013967927564365588,9.281916820996056e-05,8.563713350482745e-05,7.016194179246756e-05,9.835489973642024e-05,0.00010113176806866972,0.00011992673218506655,7.173680000384575e-05
57,114.0,0.00022177066356883826,0.0001802004317998483,0.00022817725947960407,0.00024866495395516806,0.00038816835604508923,0.00027036495674693606,0.00038886315907103123,0.00039431563716549274,0.00040433747994484895,9.550348068272084e-05
58,115.0,0.0002241344826707923,0.0002509688481959172,0.0006685184832920595,0.00039871973741034683,0.00026751434499694394,0.0009668760440441569,0.0012617868587324985,0.0015969936893793107,0.002114548253036468,0.0015756276737716565
59,117.0,0.0007931587112101454,0.00047941648161114667,0.0006238418973228944,0.0008762762015520364,0.0005719659488303682,0.0014438537328597119,0.0017813973421026419,0.0020833834025713125,0.0023996129664081746,0.0019176502438047996
60,119.0,0.001576002956986837,0.0015405946187581204,0.002396294140009912,0.0027424468719703995,0.0017214102756259297,0.008034010592596844,0.0097105627717733,0.010993601741662825,0.012783153383560203,0.009785576129526595
61,120.0,0.0008172672773668274,0.0007882119953325694,0.0016284441902381882,0.0006834227552373878,0.000593070069344681,0.0025184097961050184,0.002769598402302197,0.002092729999450251,0.0027813471620867555,0.001941540257517555
62,121.0,0.0011711506269132183,0.00038271981126020415,0.000379043888975753,0.00033668473090834846,0.0002468669614643309,0.0002755730861950702,0.0003236985842894762,0.00037722598393418507,0.0004036572898195906,0.00029806514933725526
63,122.0,3.3593129210799004e-05,4.322385907409869e-05,5.6299840822691154e-05,9.009193193645181e-05,5.472725408549693e-05,3.2337496893192945e-05,4.95346159288662e-05,5.518740838974057e-05,6.519867952290934e-05,4.7779763967480055e-05
64,124.0,0.0006519680017301956,0.00012286920205074252,0.00012955951405062413,0.00022374570655484818,0.00013062002668643233,0.00040575025365706093,0.00047127847021886785,0.000516976021481968,0.0004763419168738629,0.0003305454626195244
65,127.0,4.8038961593490716e-05,5.540554940932339e-05,8.323672180873286e-05,8.57369841527151e-05,8.672644209013927e-05,5.055992254968546e-05,6.120278712326215e-05,6.878092307846425e-05,7.305332710227279e-05,4.853586790905808e-05
66,131.0,0.0007184413717593115,0.00015514895280821115,0.00019010435712476582,0.0002604172361984395,0.00016989373141704635,0.0003501527971477805,0.0005577145823861806,0.0006045758567671704,0.0005222735115148288,0.00044385385887673896
67,132.0,0.0007315040355246075,0.00048121324979949703,0.0005562192416786893,0.0005983940923271688,0.00037654845100817643,0.0004304025145957163,0.0005368191499194635,0.0005941657311416179,0.0007750076689302455,0.0006374245704970481
68,137.0,0.002378941911200596,0.0028905942976296586,0.0031518622453792396,0.0025238890257517485,0.0017495363481325383,0.00046833692485975955,0.0006442736950992586,0.00093184311341402,0.0012608121926536086,0.0010493882570209935
69,139.0,0.00029179242688018097,0.0001580470110880642,0.00025725647690589886,0.00022404658375275,0.0003131809459803415,0.00047056107574453465,0.0007623949308082635,0.0009211263372063056,0.0011338103052659922,0.0007436900996586394
70,140.0,6.317009637432853e-05,8.252872936103438e-05,9.814118278806297e-05,0.00012810038717504097,9.1555163344172e-05,4.488040837597381e-05,5.3133203362492015e-05,6.001668449533637e-05,6.85494540061622e-05,4.725076018860477e-05
71,141.0,0.00011430666795327055,0.00011937860039204007,0.00018436498975869168,0.00019089022703874814,0.00017558732457850063,0.00025595640398789246,0.00034536219827700315,0.0004002985343633527,0.0004998577154979477,0.0003446726315683707
72,142.0,0.00015250799615929705,0.00015614639215253995,0.000188514564996383,0.00021879845500686712,0.0002050218206884832,0.0003448097995125694,0.00042892168161569766,0.000504949562205208,0.0005468235373844569,0.00035366753868606646
73,143.0,0.0002557502797240063,0.000260642677224057,0.0003293404150813406,0.00033755391907110474,0.0004078910349853269,0.00014471714962706865,0.0001407379432692451,0.00020592107652798325,0.00026803678494023367,5.6785989787778735e-05
74,144.0,9.565177449012924e-05,0.00011088627793923316,0.0002693994918605048,0.0001697739477060947,0.0001279050330304223,0.0001872069639019333,0.00021287134294113288,0.00022618031261831804,0.00017720729651268544,0.00012977098468030162
75,145.0,8.93619227587144e-05,6.486413568349624e-05,0.00013843405476681724,0.00013842340339019873,0.0001384421795857866,0.00012861333505269218,0.00019621129312973336,0.00022866663455547496,0.00029468877945171984,0.0002143774990048595
76,146.0,0.0007124613615586509,0.0006255982112594685,0.0007255570703657431,0.0005934642871069021,0.00046464093993711013,0.0006423823502584829,0.000769456371170916,0.0008144304448655093,0.0008426189074596102,0.0005847642313604955
77,147.0,0.00025064867993134415,0.0002978288524540872,0.0003974023758396872,0.0003701671939445271,0.00028370559367802453,0.0002729088378231681,0.00032830386836564865,0.0003720235220278298,0.0003799639553976146,0.0002685025409732707
78,149.0,0.0007246950324337968,0.00038691029512522295,0.0004646742463647307,0.00037146555211792936,0.00030337127573135786,0.0014987500134350672,0.001582798390597528,0.0016004053702171942,0.0014704206732161682,0.0009910546418623522
79,150.0,0.0005069487290626441,0.0006651672205001071,0.0005465109179475301,0.0005244514255101605,0.00040878230263936735,0.0007827848288361051,0.0008301240571919106,0.0010049341388638107,0.0010315084737162457,0.0007337876532172173
80,151.0,3.418052261816439e-05,4.388757057102391e-05,5.7033358362330676e-05,7.283562095956352e-05,8.20808735304282e-05,2.5692667704969447e-05,3.1233194089451885e-05,4.7152986001681275e-05,6.0487662242389045e-05,3.510660234428955e-05
81,152.0,0.0019456601336273823,0.0019803755694794345,0.001806383790244088,0.0014953539254055725,0.0012288617830478149,0.0032602372112257804,0.0034241154559542806,0.003298821375386802,0.0028011657011928356,0.001661232427452565
82,153.0,0.00022137971275984776,0.00021059157681516065,0.00033827627605583144,0.00027915205812644074,0.00023163232772116415,0.00016947342246831086,0.0001995955249864216,0.0002483576832658252,0.00026372663897026547,0.00019111025853090443
83,154.0,9.136079114827557e-05,9.293493170882343e-05,0.00016509697829404941,0.00015178610406890952,0.00016519920136859946,0.0001273758807540014,0.00015342382291070925,0.00019952126975641849,0.0002704319501688089,0.00017889804721701598
