,T1,T1ERR,T2,T2ERR,N1,N2,CHI1,CHI2,WVSC,BOLO1,BOLO2,DIST,DISTERR,BOLO1ABS,BOLO2ABS,SPEC1,SPEC2,MSQ1,MSQ2
10,1992.616114476072,0.0016786286728255764,1869.1428484589835,0.00037465729893635313,1.6695890844148044e-15,3.131489178074736e-15,2.1239417559568787,7.81057758969836,42,0.047268020671881204,0.06864081589889792,1.434151972041999,[0.53091763],0.0009722048105016767,0.0014117987270274384,COLD,COLD,NOT_MSQ,NOT_MSQ
11,2061.3542114725333,0.0013093548326642771,3013.020299110686,0.0006606618488365807,2.6801126366853474e-16,8.543744951350722e-17,1.8881387575221846,1.3579208364656483,52,0.008690156566600774,0.01264519663031812,-4.875882057425438,[4.94148948],0.002066017447812791,0.0030062976045412988,COLD,M,NOT_MSQ,MSQ
12,2696.65835762751,0.037325402582788395,2359.921370294343,0.017642548739273976,6.9884561518216935e-15,2.104616990719643e-14,215.85958033483055,890.8186252341507,63,0.6636713980145401,1.1722755818669208,1.689975447411409,[0.079848],0.018954568036737215,0.03348039005564535,M,COLD,MSQ,NOT_MSQ
13,2684.676109529263,0.01129014619913368,2034.0013947162058,0.0021244046493067484,4.77876240238199e-15,9.40860124444752e-15,109.24133774987183,125.79554040997824,66,0.4458113570385606,0.2891970125633672,2.824777891810295,[0.40446202],0.03557293829561591,0.023076100060643572,M,COLD,MSQ,NOT_MSQ
14,1926.4526550304165,0.0030711587632575523,1781.8906449610638,0.0005673629183356709,2.016896066714926e-15,1.3402916209832797e-14,2.3416521643692785,12.336933155205198,68,0.04988606866334163,0.24265180536691863,1.0434676777481686,[0.17210832],0.0005431718846103305,0.0026420530211494022,COLD,COLD,NOT_MSQ,NOT_MSQ
15,1941.7237322124006,0.00569848904747505,2328.4623299318796,0.003258912686921629,1.3371948482827881e-15,1.8130605319279136e-15,1.7729838042252435,16.564983045050862,75,0.034135562251781,0.09570959560228325,-0.8436216864596484,[0.48606203],0.00024294196017857444,0.00068116284688717,COLD,COLD,NOT_MSQ,NOT_MSQ
16,2137.0822991577556,0.007150044875371161,2294.936051313805,0.0014764249608689392,8.953493386979653e-16,1.0690639855513526e-15,4.679734006247557,9.929327517024438,78,0.03353839815300586,0.05325398812794611,134.531000045606,[3439.51178218],6.0699771653155725,9.638220955691299,COLD,COLD,NOT_MSQ,NOT_MSQ
17,2348.499095405411,0.00676193997273684,2435.340682653852,0.0012610684610927095,1.003536646755425e-15,1.4103678604311666e-15,5.564521965080162,18.464189182661098,79,0.054822806939997325,0.08909190720291225,53.474783404400426,[292.92680632],1.5676869245746297,2.5476298242132405,COLD,M,NOT_MSQ,NOT_MSQ
18,2126.1556707278505,0.005093554583963625,2356.07469549185,0.001629918371846609,1.1453747845404895e-15,8.978848627357527e-16,2.7846737421984833,5.170409273770443,80,0.04203321043149581,0.0496870668457661,6.868948169025883,[8.54565307],0.019832298053367066,0.023443574948641844,COLD,COLD,NOT_MSQ,NOT_MSQ
19,2689.3495443042175,0.4665720383310706,2963.547798001446,0.11977884362180448,1.657604188734093e-14,2.7450835198106914e-14,2425.611339368209,4123.478132972433,93,1.5571769306760865,3.8025266576656414,1.1069587060622421,[0.02057553],0.01908098550619862,0.04659454851437469,M,M,MSQ,MSQ
